topology,claim,panel,n_facts,novel,held,adopted,adopted_share,adopted_share_recv,reception,held_share,nestedness,reach,flow_gini,delivery_use,deliveries,n_agents,meta_share,balance
full,171,lenses,96,112,17,12,0.0851063829787234,0.125,0.6666666666666666,0.12056737588652482,0.3030309596032548,1.2916666666666667,0.14583333333333334,0.8333333333333334,12,3,0.3958333333333333,0.03448275862068961
full,171,neutral,86,89,16,26,0.1984732824427481,0.26262626262626265,0.6666666666666666,0.12213740458015267,0.3334920634920635,1.3372093023255813,0.3390804597701149,0.75,12,3,0.7209302325581395,0.25
full,171,stance,89,99,20,24,0.16783216783216784,0.2376237623762376,0.6666666666666666,0.13986013986013987,0.3718338399189463,1.3820224719101124,0.2654320987654321,0.8333333333333334,12,3,0.3707865168539326,0.25
full,221,lenses,117,123,8,16,0.10884353741496598,0.15841584158415842,0.6666666666666666,0.05442176870748299,0.19352324263038548,1.188034188034188,0.2777777777777778,0.75,12,3,0.2564102564102564,0.5057471264367817
full,221,neutral,117,131,23,14,0.08333333333333333,0.125,0.6666666666666666,0.13690476190476192,0.23775490756622833,1.2393162393162394,0.4166666666666667,0.75,12,3,0.24786324786324787,0.6363636363636364
full,221,stance,110,119,10,13,0.09154929577464789,0.12380952380952381,0.6666666666666666,0.07042253521126761,0.2117229870671673,1.2,0.47619047619047616,0.5833333333333334,12,3,0.2545454545454545,0.8780487804878049
full,229,lenses,100,104,5,8,0.06837606837606838,0.08791208791208792,0.6666666666666666,0.042735042735042736,0.12986392262708052,1.12,0.16666666666666666,0.5,12,3,0.5,0.56
full,229,neutral,52,60,22,12,0.1276595744680851,0.18461538461538463,0.6666666666666666,0.23404255319148937,0.3782467532467533,1.3846153846153846,0.2647058823529412,0.6666666666666666,12,3,0.5384615384615384,0.08333333333333337
full,229,stance,86,89,11,6,0.05660377358490566,0.08450704225352113,0.6666666666666666,0.10377358490566038,0.13297101449275361,1.1046511627906976,0.11904761904761904,0.5,12,3,0.29069767441860467,0.7213114754098361
full,233,lenses,65,76,17,15,0.1388888888888889,0.2,0.6666666666666666,0.1574074074074074,0.3810752688172043,1.4,0.35964912280701755,0.8333333333333334,12,3,0.3230769230769231,0.5909090909090908
full,233,neutral,51,64,19,5,0.056818181818181816,0.09259259259259259,0.6666666666666666,0.2159090909090909,0.3808167141500475,1.3529411764705883,0.5952380952380952,0.3333333333333333,12,3,0.11764705882352941,0.9777777777777777
