execution_id,case_id,condition,round,pair,n_i,n_j,cluster_jaccard,equivalent_coverage,related_coverage
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,1,AC,41,8,0.020833333333333332,0.09908536585365854,0.3231707317073171
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,1,BC,31,8,0.0,0.07862903225806452,0.11088709677419355
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,2,AB,40,67,0.009433962264150943,0.01996268656716418,0.23451492537313434
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,2,AC,40,73,0.02727272727272727,0.0511986301369863,0.1946917808219178
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,2,BC,67,73,0.007194244604316547,0.0,0.3733387855244326
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,3,AB,82,38,0.09090909090909091,0.16014120667522463,0.38414634146341464
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,3,AC,82,63,0.03571428571428571,0.04210220673635308,0.2867789392179636
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-12,split-specialist-aligned,3,BC,38,63,0.06315789473684211,0.12656641604010024,0.41395154553049285
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,AB,36,57,0.06896551724137931,0.11330409356725146,0.2945906432748538
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,AC,36,44,0.03896103896103896,0.07575757575757575,0.2777777777777778
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,1,BC,57,44,0.06315789473684211,0.10944976076555024,0.3133971291866029
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,AB,28,43,0.14516129032258066,0.2653654485049834,0.4717607973421927
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,AC,28,39,0.13559322033898305,0.19688644688644688,0.5393772893772895
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,2,BC,43,39,0.09333333333333334,0.14669051878354206,0.5238521168753727
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,3,AB,40,42,0.20588235294117646,0.35357142857142854,0.7690476190476191
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,3,AC,40,42,0.15492957746478872,0.19523809523809524,0.5738095238095238
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-14,full-generic,3,BC,42,42,0.10526315789473684,0.20238095238095238,0.5833333333333334
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,1,AB,43,35,0.02631578947368421,0.05182724252491694,0.2564784053156146
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,1,AC,43,42,0.036585365853658534,0.08222591362126246,0.29485049833887045
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,1,BC,35,42,0.0547945205479452,0.07857142857142857,0.3404761904761905
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,2,AB,41,51,0.033707865168539325,0.06599713055954089,0.4693926351028216
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,2,AC,41,33,0.07246376811594203,0.10938654841093866,0.4985218033998522
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,2,BC,51,33,0.07692307692307693,0.12477718360071302,0.32887700534759357
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,3,AB,49,33,0.10810810810810811,0.16728509585652443,0.4511440940012369
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,3,AC,49,39,0.1282051282051282,0.2532705389848247,0.5779696493982208
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,3,BC,33,39,0.07462686567164178,0.13986013986013984,0.4953379953379954
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,1,AB,30,29,0.017241379310344827,0.10172413793103449,0.3724137931034483
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,1,AC,30,22,0.0,0.1015151515151515,0.3318181818181818
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,1,BC,29,22,0.0,0.07993730407523511,0.1943573667711599
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,2,AB,58,39,0.05434782608695652,0.14588859416445624,0.33045977011494254
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,2,AC,58,52,0.03773584905660377,0.05470822281167109,0.20921750663129973
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,2,BC,39,52,0.03409090909090909,0.10897435897435898,0.33974358974358976
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,3,AB,41,42,0.07792207792207792,0.19279907084785133,0.42160278745644597
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,3,AC,41,40,0.02531645569620253,0.1478658536585366,0.4198170731707317
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,3,BC,42,40,0.0379746835443038,0.0732142857142857,0.19523809523809524
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,1,AB,33,20,0.0,0.1606060606060606,0.25606060606060604
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,1,AC,33,20,0.019230769230769232,0.1856060606060606,0.38636363636363635
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,1,BC,20,20,0.0,0.15000000000000002,0.4
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,2,AB,30,37,0.015151515151515152,0.0,0.10720720720720721
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,2,AC,30,53,0.0641025641025641,0.13050314465408805,0.35597484276729563
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,2,BC,37,53,0.011235955056179775,0.022947475777664456,0.0958694543600204
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,3,AB,51,51,0.07368421052631578,0.19607843137254902,0.4509803921568627
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,3,AC,51,63,0.07547169811320754,0.13398692810457516,0.4649859943977591
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,3,BC,51,63,0.07547169811320754,0.15172735760971057,0.4061624649859944
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,1,AB,26,27,0.17777777777777778,0.301994301994302,0.4145299145299145
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,1,AC,26,39,0.08333333333333333,0.16025641025641024,0.3653846153846154
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,1,BC,27,39,0.1,0.15669515669515668,0.26353276353276356
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,2,AB,26,25,0.10869565217391304,0.15692307692307694,0.33384615384615385
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,2,AC,26,32,0.09433962264150944,0.03485576923076923,0.1935096153846154
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,2,BC,25,32,0.09615384615384616,0.106875,0.23375
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,3,AB,25,40,0.08333333333333333,0.0975,0.3375
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,3,AC,25,38,0.14545454545454545,0.16578947368421054,0.4905263157894737
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,3,BC,40,38,0.11428571428571428,0.21776315789473683,0.4223684210526316
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,1,AB,30,20,0.041666666666666664,0.08333333333333334,0.24166666666666667
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,1,AC,30,34,0.06666666666666667,0.09411764705882353,0.3764705882352941
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,1,BC,20,34,0.038461538461538464,0.11911764705882352,0.21323529411764708
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,2,AB,25,24,0.06521739130434782,0.08166666666666667,0.3883333333333333
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,2,AC,25,28,0.10416666666666667,0.0757142857142857,0.39642857142857146
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,2,BC,24,28,0.15555555555555556,0.11607142857142858,0.40773809523809523
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,3,AB,31,32,0.10526315789473684,0.12701612903225806,0.49092741935483875
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,3,AC,31,22,0.06,0.07771260997067449,0.4046920821114369
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-2,full-specialist,3,BC,32,22,0.058823529411764705,0.09232954545454546,0.4147727272727273
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,1,AB,25,22,0.0,0.10818181818181818,0.28181818181818186
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,1,AC,25,20,0.0,0.08499999999999999,0.245
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,1,BC,22,20,0.0,0.04772727272727273,0.21363636363636362
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,2,AB,34,14,0.06666666666666667,0.10084033613445378,0.18067226890756302
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,2,AC,34,23,0.09615384615384616,0.18222506393861893,0.2915601023017903
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,2,BC,14,23,0.08823529411764706,0.11490683229813664,0.21583850931677018
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-2,split-generic,3,AB,30,34,0.0847457627118644,0.09411764705882353,0.40588235294117647
