execution_id,case_id,condition,EQUIVALENT,A_ENTAILS_B,B_ENTAILS_A,UNRELATED,oneway_share_related,oneway_peer_weaken,oneway_peer_strengthen,weaken_target_rate,strengthen_target_rate,threshold
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-14,full-specialist,163,212,264,2042,0.7449139280125195,71,127,0.22310756972111553,0.3466135458167331,10.56
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,261,222,229,1630,0.6334269662921348,90,52,0.17266187050359713,0.1223021582733813,0.0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,223,209,204,1706,0.64937106918239,86,46,0.16906474820143885,0.11510791366906475,2.64
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,180,196,183,1783,0.6779964221824687,73,45,0.15467625899280577,0.11870503597122302,5.28
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,144,182,172,1844,0.7108433734939759,75,43,0.1618705035971223,0.11870503597122302,7.92
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-14,split-generic,102,157,158,1925,0.7553956834532374,65,39,0.15467625899280577,0.11151079136690648,10.56
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,238,255,261,1771,0.6843501326259946,83,120,0.1840277777777778,0.2569444444444444,0.0
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,199,229,237,1860,0.7007518796992481,79,100,0.18055555555555555,0.2326388888888889,2.64
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,170,190,215,1950,0.7043478260869566,62,84,0.14930555555555555,0.20833333333333334,5.28
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,130,172,212,2011,0.7470817120622568,61,77,0.14930555555555555,0.2013888888888889,7.92
idrbench-generation-idr-gen-level_1-14-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-14,split-specialist-aligned,98,131,187,2109,0.7644230769230769,53,58,0.1423611111111111,0.15625,10.56
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,288,234,185,1627,0.5926449787835927,104,93,0.3684210526315789,0.28421052631578947,0.0
idrbench-generation-idr-gen-level_1-2-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-2,full-generic,228,212,161,1733,0.6206322795341098,91,88,0.33157894736842103,0.28421052631578947,2.64
