execution_id,case_id,condition,round,sender,receiver,topic,n,equivalent,related
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,B,G,6,0.16666666666666666,0.6666666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,B,U,0,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,B,*,42,0.09523809523809523,0.42857142857142855
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,C,B,9,0.1111111111111111,0.3333333333333333
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,C,C,15,0.3333333333333333,0.5333333333333333
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,C,X,25,0.08,0.32
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,C,G,3,0.0,0.6666666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,C,U,0,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,A,C,*,52,0.15384615384615385,0.40384615384615385
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,A,B,11,0.0,0.36363636363636365
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,A,C,12,0.16666666666666666,0.5
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,A,X,28,0.03571428571428571,0.32142857142857145
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,A,G,3,0.3333333333333333,0.6666666666666666
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,A,U,0,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,A,*,54,0.07407407407407407,0.3888888888888889
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,C,B,9,0.3333333333333333,0.4444444444444444
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,C,C,15,0.06666666666666667,0.4
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,C,X,25,0.12,0.36
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,C,G,3,0.0,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,C,U,0,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,B,C,*,52,0.1346153846153846,0.36538461538461536
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,2,C,A,B,11,0.09090909090909091,0.36363636363636365
