execution_id,case_id,condition,agent,round,scope,n,B,C,X,G,U,B_share,C_share,X_share,G_share,U_share,own_share,proposal_share
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,output,50,10,16,21,3,0,0.2,0.32,0.42,0.06,0.0,0.41,0.66
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,input,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,peer,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,self,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,1,delivered,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,output,54,11,12,28,3,0,0.2037037037037037,0.2222222222222222,0.5185185185185185,0.05555555555555555,0.0,0.46296296296296297,0.7777777777777778
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,input,132,42,31,53,6,0,0.3181818181818182,0.23484848484848486,0.4015151515151515,0.045454545454545456,0.0,0.5189393939393939,0.5757575757575758
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,peer,63,17,8,35,3,0,0.2698412698412698,0.12698412698412698,0.5555555555555556,0.047619047619047616,0.0,0.5476190476190477,0.746031746031746
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,self,50,10,16,21,3,0,0.2,0.32,0.42,0.06,0.0,0.41,0.66
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,2,delivered,63,17,8,35,3,0,0.2698412698412698,0.12698412698412698,0.5555555555555556,0.047619047619047616,0.0,0.5476190476190477,0.746031746031746
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,output,48,8,13,19,8,0,0.16666666666666666,0.2708333333333333,0.3958333333333333,0.16666666666666666,0.0,0.3645833333333333,0.8958333333333334
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,input,244,61,54,112,17,0,0.25,0.22131147540983606,0.45901639344262296,0.06967213114754098,0.0,0.47950819672131145,0.7131147540983607
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.6875,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,peer,135,26,27,70,12,0,0.1925925925925926,0.2,0.5185185185185185,0.08888888888888889,0.0,0.45185185185185184,0.8148148148148148
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,self,97,20,23,48,6,0,0.20618556701030927,0.23711340206185566,0.4948453608247423,0.061855670103092786,0.0,0.4536082474226804,0.7422680412371134
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,A,3,delivered,87,16,21,41,9,0,0.1839080459770115,0.2413793103448276,0.47126436781609193,0.10344827586206896,0.0,0.41954022988505746,0.8160919540229885
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,output,35,11,5,19,0,0,0.3142857142857143,0.14285714285714285,0.5428571428571428,0.0,0.0,0.4142857142857143,0.6857142857142857
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,input,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.3125,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.3125,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,peer,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,self,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,1,delivered,0,0,0,0,0,0,,,,,,,
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,output,42,10,7,19,6,0,0.23809523809523808,0.16666666666666666,0.4523809523809524,0.14285714285714285,0.0,0.39285714285714285,0.8333333333333334
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,input,132,42,31,53,6,0,0.3181818181818182,0.23484848484848486,0.4015151515151515,0.045454545454545456,0.0,0.4356060606060606,0.5757575757575758
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.3125,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,peer,75,14,19,36,6,0,0.18666666666666668,0.25333333333333335,0.48,0.08,0.0,0.49333333333333335,0.72
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,self,35,11,5,19,0,0,0.3142857142857143,0.14285714285714285,0.5428571428571428,0.0,0.0,0.4142857142857143,0.6857142857142857
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,2,delivered,75,14,19,36,6,0,0.18666666666666668,0.25333333333333335,0.48,0.08,0.0,0.49333333333333335,0.72
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,output,35,6,4,20,4,1,0.17142857142857143,0.11428571428571428,0.5714285714285714,0.11428571428571428,0.02857142857142857,0.4,0.9428571428571428
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,input,244,61,54,112,17,0,0.25,0.22131147540983606,0.45901639344262296,0.06967213114754098,0.0,0.45081967213114754,0.7131147540983607
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,source,32,22,10,0,0,0,0.6875,0.3125,0.0,0.0,0.0,0.3125,0.0
idrbench-generation-idr-gen-level_1-12-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-12,full-generic,B,3,peer,160,28,37,83,12,0,0.175,0.23125,0.51875,0.075,0.0,0.490625,0.7875
