execution_id,case_id,condition,output_facts,non_source_facts,eligible_facts,exact_dead_rate,equivalence_dead_rate,typed_dead_rate,rescued_dead,rescued_dead_rate,exact_spread_fanout,typed_spread_fanout,eligible_non_source,non_source_exact_spread,non_source_typed_spread,abstraction_meeting_points,specificity_meeting_points,profile_tv_r1,profile_tv_r2,profile_tv_r3,production_A,spread_credit_A,final_shared_credit_A,final_shared_credit_share_A,production_B,spread_credit_B,final_shared_credit_B,final_shared_credit_share_B,production_C,spread_credit_C,final_shared_credit_C,final_shared_credit_share_C,path_equivalent>equivalent,path_weaken>weaken,path_strengthen>strengthen,path_weaken>strengthen,path_strengthen>weaken,path_equivalent>weaken,path_weaken>equivalent,path_equivalent>strengthen,path_strengthen>equivalent,closed_weaken_strengthen,private_source_adoptions,all_peer_adoptions
idrbench-generation-idr-gen-level_1-24-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-24,split-specialist-aligned,228,224,150,0.9466666666666667,0.86,0.52,51,0.3953488372093023,1,1.0416666666666667,146,6,68,3,1,0.22222222222222224,0.3358024691358025,0.27492877492877493,66.5,5.0,1.5,0.5,78.5,1.0,1.5,0.5,79.0,0,0,0.0,10,2,9,7,17,7,4,7,4,3,1,8
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-49,full-generic,259,256,177,0.8926553672316384,0.8361581920903954,0.3672316384180791,83,0.5608108108108109,1.3157894736842106,1.3839285714285714,175,18,111,21,12,0.20148809523809524,0.2212212212212212,0.31431710456100703,89.5,8.5,4.5,0.45,81.0,5.5,2.5,0.25,85.5,4.0,3.0,0.3,11,16,15,45,29,5,14,16,4,11,0,25
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-49,full-specialist,242,238,175,0.8742857142857143,0.8,0.44,63,0.45,1.0454545454545454,1.2857142857142858,172,21,96,7,14,0.11663936663936665,0.1953663222045575,0.21693121693121692,85.16666666666666,6.0,1.3333333333333333,0.26666666666666666,73.16666666666667,8.5,1.3333333333333333,0.26666666666666666,79.66666666666666,6.5,2.333333333333333,0.4666666666666666,13,1,12,16,23,0,10,13,18,4,0,23
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-49,split-generic,211,209,120,0.875,0.8333333333333334,0.4583333333333333,45,0.45,1.2666666666666666,1.4307692307692308,118,13,63,2,13,0.4685990338164251,0.2706971677559913,0.2796296296296297,66.5,2.0,1.0,0.16666666666666666,84.0,7.0,4.0,0.6666666666666666,58.5,4.0,1.0,0.16666666666666666,4,2,0,9,0,2,1,7,1,3,3,19
idrbench-generation-idr-gen-level_1-49-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-49,split-specialist-aligned,255,253,161,0.9130434782608695,0.8633540372670807,0.5403726708074534,52,0.37410071942446044,1.0714285714285714,1.3783783783783783,159,14,73,8,9,0.3137254901960784,0.2988802756244617,0.10873015873015872,82.0,3.5,2.1666666666666665,0.3611111111111111,77.5,6.0,2.1666666666666665,0.3611111111111111,93.5,4.5,1.6666666666666665,0.27777777777777773,3,0,1,6,13,6,0,3,17,0,0,15
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-55,full-generic,234,231,185,0.8486486486486486,0.8216216216216217,0.4702702702702703,65,0.4276315789473684,1.1071428571428572,1.3571428571428572,183,27,97,14,16,0.11497105045492144,0.19473684210526315,0.2284900284900285,59.83333333333333,14.0,8.833333333333332,0.5888888888888888,95.83333333333334,5.5,3.3333333333333335,0.22222222222222224,75.33333333333333,7.5,2.8333333333333335,0.1888888888888889,17,4,5,14,32,7,9,15,24,0,0,31
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-55,full-specialist,223,222,167,0.8502994011976048,0.7664670658682635,0.4251497005988024,57,0.4453125,1.16,1.3854166666666667,166,24,95,12,14,0.11416965935636832,0.1987936008392342,0.21322751322751324,80.66666666666666,7.0,5.833333333333333,0.30701754385964913,60.66666666666667,7.5,6.333333333333333,0.3333333333333333,80.66666666666666,9.5,6.833333333333333,0.35964912280701755,39,11,16,27,40,25,20,14,22,5,0,29
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-55,split-generic,194,191,143,0.8881118881118881,0.8321678321678322,0.5174825174825175,45,0.37815126050420167,1.5,1.3768115942028984,140,15,66,6,3,0.13438735177865613,0.23595093209697676,0.2105911330049261,62.5,8.0,7.5,0.6818181818181818,80.0,6.0,2.0,0.18181818181818182,48.5,1.0,1.5,0.13636363636363635,7,3,3,2,6,4,4,3,6,0,2,24
idrbench-generation-idr-gen-level_1-55-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-55,split-specialist-aligned,225,224,141,0.900709219858156,0.8368794326241135,0.6099290780141844,32,0.2711864406779661,1.1428571428571428,1.3454545454545455,140,14,54,2,4,0.02105263157894735,0.3104006820119352,0.20577094474153299,83.66666666666666,0.5,3.6666666666666665,0.3055555555555555,102.66666666666667,9.5,5.166666666666667,0.4305555555555556,37.66666666666667,4.0,3.1666666666666665,0.2638888888888889,2,0,3,6,12,0,1,4,3,0,0,16
idrbench-generation-idr-gen-level_1-8-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-8,full-generic,232,227,161,0.8633540372670807,0.8012422360248447,0.37888198757763975,68,0.5271317829457365,1.2727272727272727,1.35,157,19,96,11,13,0.11279461279461281,0.16154188948306594,0.23331374085684428,81.66666666666666,10.0,4.333333333333333,0.3611111111111111,68.16666666666667,5.5,4.333333333333334,0.36111111111111116,77.16666666666667,3.5,3.333333333333333,0.27777777777777773,19,4,12,4,39,11,5,10,14,0,0,28
