execution_id,case_id,condition,agent,round,n,source,self,peer,unmerged_equivalent,transformed,unmatched,exact_unmatched,source_rate,self_rate,peer_rate,unmerged_equivalent_rate,transformed_rate,unmatched_rate,exact_unmatched_rate
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,B,1,39,3,0,0,0,3,33,36,0.07692307692307693,0.0,0.0,0.0,0.07692307692307693,0.8461538461538461,0.9230769230769231
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,B,2,32,2,2,2,1,3,22,26,0.0625,0.0625,0.0625,0.03125,0.09375,0.6875,0.8125
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,B,3,33,2,5,4,1,7,14,22,0.06060606060606061,0.15151515151515152,0.12121212121212122,0.030303030303030304,0.21212121212121213,0.42424242424242425,0.6666666666666666
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,C,1,21,0,0,0,0,0,21,21,0.0,0.0,0.0,0.0,0.0,1.0,1.0
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,C,2,31,0,0,6,0,4,21,25,0.0,0.0,0.1935483870967742,0.0,0.12903225806451613,0.6774193548387096,0.8064516129032258
idrbench-generation-idr-gen-level_1-92-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-92,split-specialist-aligned,C,3,47,0,6,3,12,15,11,38,0.0,0.1276595744680851,0.06382978723404255,0.2553191489361702,0.3191489361702128,0.23404255319148937,0.8085106382978723
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,A,1,38,1,0,0,0,3,34,37,0.02631578947368421,0.0,0.0,0.0,0.07894736842105263,0.8947368421052632,0.9736842105263158
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,A,2,41,0,6,4,6,15,10,31,0.0,0.14634146341463414,0.0975609756097561,0.14634146341463414,0.36585365853658536,0.24390243902439024,0.7560975609756098
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,A,3,35,0,4,5,8,12,6,26,0.0,0.11428571428571428,0.14285714285714285,0.22857142857142856,0.34285714285714286,0.17142857142857143,0.7428571428571429
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,B,1,64,0,0,0,2,7,55,64,0.0,0.0,0.0,0.03125,0.109375,0.859375,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,B,2,42,0,9,5,1,12,15,28,0.0,0.21428571428571427,0.11904761904761904,0.023809523809523808,0.2857142857142857,0.35714285714285715,0.6666666666666666
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,B,3,47,1,7,3,2,27,7,36,0.02127659574468085,0.14893617021276595,0.06382978723404255,0.0425531914893617,0.574468085106383,0.14893617021276595,0.7659574468085106
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,C,1,45,0,0,0,1,5,39,45,0.0,0.0,0.0,0.022222222222222223,0.1111111111111111,0.8666666666666667,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,C,2,29,0,3,2,3,7,14,24,0.0,0.10344827586206896,0.06896551724137931,0.10344827586206896,0.2413793103448276,0.4827586206896552,0.8275862068965517
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-generic-cumulative,idr-gen-level_1-95,full-generic,C,3,38,0,11,6,3,12,6,21,0.0,0.2894736842105263,0.15789473684210525,0.07894736842105263,0.3157894736842105,0.15789473684210525,0.5526315789473685
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,A,1,42,0,0,0,0,13,29,42,0.0,0.0,0.0,0.0,0.30952380952380953,0.6904761904761905,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,A,2,40,0,9,5,7,9,10,26,0.0,0.225,0.125,0.175,0.225,0.25,0.65
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,A,3,19,0,7,5,1,5,1,7,0.0,0.3684210526315789,0.2631578947368421,0.05263157894736842,0.2631578947368421,0.05263157894736842,0.3684210526315789
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,B,1,52,0,0,0,2,7,43,52,0.0,0.0,0.0,0.038461538461538464,0.1346153846153846,0.8269230769230769,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,B,2,42,0,4,8,0,14,16,30,0.0,0.09523809523809523,0.19047619047619047,0.0,0.3333333333333333,0.38095238095238093,0.7142857142857143
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,B,3,36,0,5,3,6,16,6,28,0.0,0.1388888888888889,0.08333333333333333,0.16666666666666666,0.4444444444444444,0.16666666666666666,0.7777777777777778
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,C,1,54,0,0,0,2,11,41,54,0.0,0.0,0.0,0.037037037037037035,0.2037037037037037,0.7592592592592593,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,C,2,43,0,8,7,4,13,11,28,0.0,0.18604651162790697,0.16279069767441862,0.09302325581395349,0.3023255813953488,0.2558139534883721,0.6511627906976745
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-full-specialist-cumulative,idr-gen-level_1-95,full-specialist,C,3,41,0,12,5,7,14,3,24,0.0,0.2926829268292683,0.12195121951219512,0.17073170731707318,0.34146341463414637,0.07317073170731707,0.5853658536585366
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,A,1,27,1,0,0,1,9,16,26,0.037037037037037035,0.0,0.0,0.037037037037037035,0.3333333333333333,0.5925925925925926,0.9629629629629629
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,A,2,50,0,2,2,3,15,28,46,0.0,0.04,0.04,0.06,0.3,0.56,0.92
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,A,3,48,0,11,2,6,12,17,35,0.0,0.22916666666666666,0.041666666666666664,0.125,0.25,0.3541666666666667,0.7291666666666666
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,B,1,17,1,0,0,0,6,10,16,0.058823529411764705,0.0,0.0,0.0,0.35294117647058826,0.5882352941176471,0.9411764705882353
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,B,2,27,0,3,1,1,4,18,23,0.0,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.6666666666666666,0.8518518518518519
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,B,3,32,0,1,5,4,12,10,26,0.0,0.03125,0.15625,0.125,0.375,0.3125,0.8125
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,C,1,18,0,0,0,0,0,18,18,0.0,0.0,0.0,0.0,0.0,1.0,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,C,2,35,0,0,4,0,8,23,31,0.0,0.0,0.11428571428571428,0.0,0.22857142857142856,0.6571428571428571,0.8857142857142857
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-generic-cumulative,idr-gen-level_1-95,split-generic,C,3,56,0,2,7,5,27,15,47,0.0,0.03571428571428571,0.125,0.08928571428571429,0.48214285714285715,0.26785714285714285,0.8392857142857143
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,A,1,44,0,0,0,0,6,38,44,0.0,0.0,0.0,0.0,0.13636363636363635,0.8636363636363636,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,A,2,28,0,5,1,0,4,18,22,0.0,0.17857142857142858,0.03571428571428571,0.0,0.14285714285714285,0.6428571428571429,0.7857142857142857
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,A,3,52,0,7,11,4,17,13,34,0.0,0.1346153846153846,0.21153846153846154,0.07692307692307693,0.3269230769230769,0.25,0.6538461538461539
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,B,1,12,0,0,0,2,2,8,12,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,B,2,43,0,1,3,1,3,35,39,0.0,0.023255813953488372,0.06976744186046512,0.023255813953488372,0.06976744186046512,0.813953488372093,0.9069767441860465
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,B,3,49,0,11,1,6,20,11,37,0.0,0.22448979591836735,0.02040816326530612,0.12244897959183673,0.40816326530612246,0.22448979591836735,0.7551020408163265
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,C,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,C,2,45,0,0,3,0,8,34,42,0.0,0.0,0.06666666666666667,0.0,0.17777777777777778,0.7555555555555555,0.9333333333333333
idrbench-generation-idr-gen-level_1-95-deepseek-v4-pro-full-split-specialist-aligned-cumulative,idr-gen-level_1-95,split-specialist-aligned,C,3,50,0,8,3,2,20,17,39,0.0,0.16,0.06,0.04,0.4,0.34,0.78
